fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
2,2026-02..2026-04,seen,seen,persistence,1733801,0.12789033353328705,-0.07292949240627533,0.0,-0.39966088792112586,sunshine_coast_hinterland
2,2026-02..2026-04,seen,seen,climatology,1840743,0.09137237071990967,0.47867608592295297,0.28554122742883115,0.0,sunshine_coast_hinterland
2,2026-02..2026-04,seen,unseen,gbt,118668,0.09475761091845625,0.3623927122134213,0.273176648423919,-0.016869555623629573,sunshine_coast_hinterland
2,2026-02..2026-04,seen,unseen,persistence,130145,0.13037227094173431,-0.20362260299053192,0.0,-0.39906010644621914,sunshine_coast_hinterland
2,2026-02..2026-04,seen,unseen,climatology,137069,0.09318561106920242,0.39342385804533386,0.2852344260318306,0.0,sunshine_coast_hinterland
3,2026-05..2026-07,future,seen,gbt,43556,0.0851413566911577,0.25298851969876146,0.17960442655270892,-0.004699165487133339,sunshine_coast_hinterland
3,2026-05..2026-07,future,seen,persistence,48104,0.10378085821866989,-0.07627306089894859,0.0,-0.2246521044298191,sunshine_coast_hinterland
3,2026-05..2026-07,future,seen,climatology,48292,0.08474313467741013,0.3304490321035848,0.18344156974638437,0.0,sunshine_coast_hinterland
3,2026-05..2026-07,future,unseen,gbt,2944,0.07448170685871802,0.34886569412832225,0.20944601148452313,-0.04467716525202792,sunshine_coast_hinterland
3,2026-05..2026-07,future,unseen,persistence,3589,0.09421457350254059,-0.058802885940829386,0.0,-0.3214494903931233,sunshine_coast_hinterland
3,2026-05..2026-07,future,unseen,climatology,3594,0.07129638642072678,0.4026342098648936,0.24325522294272017,0.0,sunshine_coast_hinterland
3,2026-05..2026-07,seen,seen,gbt,1609991,0.09450067360238075,0.4075062985089144,0.26642271444045273,-0.02968288563173127,sunshine_coast_hinterland
3,2026-05..2026-07,seen,seen,persistence,1774078,0.1288217008113861,-0.0888597281890815,0.0,-0.40364608596942153,sunshine_coast_hinterland
3,2026-05..2026-07,seen,seen,climatology,1881804,0.09177648276090622,0.47359602111441335,0.2875697015110795,0.0,sunshine_coast_hinterland
3,2026-05..2026-07,seen,unseen,gbt,121409,0.0949506937887296,0.3588133772029263,0.27609986677745135,-0.015893694608274167,sunshine_coast_hinterland
3,2026-05..2026-07,seen,unseen,persistence,132898,0.13116545975208282,-0.2203431219247769,0.0,-0.4033616627280796,sunshine_coast_hinterland
3,2026-05..2026-07,seen,unseen,climatology,139833,0.09346518665552139,0.38862656299133924,0.2874253112657792,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,convlstm,47634,0.10900624096393585,0.2811943993192543,0.055456976708528116,-0.040856471271204065,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,convlstm,3584,0.10303762555122375,0.24238434368046435,0.038272769807046414,-0.04603689783470477,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,convlstm,1690518,0.10360728204250336,0.3240204421369124,0.2005474200773586,-0.12629334824481742,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,convlstm,126216,0.10423538833856583,0.22264838676128385,0.2127802151104925,-0.10714961207685869,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,convlstm,41061,0.12430119514465332,-0.02135965297564968,0.2419433709784784,-0.08884701908700388,sunshine_coast_hinterland
1,2025-11..2026-01,future,unseen,convlstm,2764,0.1275806427001953,-0.34485124981355764,0.22373052331825272,-0.1383615558437945,sunshine_coast_hinterland
1,2025-11..2026-01,seen,seen,convlstm,1738924,0.1036120057106018,0.3209863983901591,0.1919430494774922,-0.13672931719002768,sunshine_coast_hinterland
1,2025-11..2026-01,seen,unseen,convlstm,129809,0.104607954621315,0.20935085435142986,0.20127818318721835,-0.12268909148830831,sunshine_coast_hinterland
2,2026-02..2026-04,future,seen,convlstm,45464,0.15600091218948364,-0.18912642849674133,0.29378910738529296,-0.16890134788753985,sunshine_coast_hinterland
2,2026-02..2026-04,future,unseen,convlstm,3242,0.1637050211429596,-0.2289991490454686,0.3642021421401771,-0.1369921324823773,sunshine_coast_hinterland
2,2026-02..2026-04,seen,seen,convlstm,1786558,0.10367269068956375,0.32308858129524776,0.1893625747517499,-0.134617498405061,sunshine_coast_hinterland
2,2026-02..2026-04,seen,unseen,convlstm,133393,0.10445161163806915,0.21494525411181864,0.1988203405250919,-0.12089849966751043,sunshine_coast_hinterland
3,2026-05..2026-07,future,seen,convlstm,48301,0.09034599363803864,0.24228525525940137,0.12945416728317594,-0.06611578603926782,sunshine_coast_hinterland
3,2026-05..2026-07,future,unseen,convlstm,3594,0.08577311784029007,0.13541498924475004,0.089598194296585,-0.203050002199757,sunshine_coast_hinterland
3,2026-05..2026-07,seen,seen,convlstm,1827619,0.10536882281303406,0.3002406655789758,0.1820568883242002,-0.14810264724938582,sunshine_coast_hinterland
3,2026-05..2026-07,seen,unseen,convlstm,136157,0.10680799931287766,0.17789026617832682,0.18570026350872748,-0.14275703216142932,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,gnn,47338,0.10068628937005997,0.3454643813340752,0.12754965839927823,0.03858737873747531,sunshine_coast_hinterland
