fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
2,2026-02..2026-04,seen,seen,convlstm,21785362,0.0964493453502655,0.5568464878868662,0.21423643089876465,-0.03770382389801186,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,convlstm,830437,0.09617553651332855,0.39867956284801354,0.2098387107634504,-0.025980589885932437,sunshine_coast_core
3,2026-05..2026-07,future,seen,convlstm,587594,0.08846566081047058,0.5272046303429554,0.14990867019900678,0.014298722860166313,sunshine_coast_core
3,2026-05..2026-07,future,unseen,convlstm,22500,0.09588539600372314,0.2512656080242509,0.1774923868872441,0.0034671653801338076,sunshine_coast_core
3,2026-05..2026-07,seen,seen,convlstm,22218100,0.09806640446186066,0.541141437267618,0.20633690738244603,-0.052848941363778934,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,convlstm,845699,0.09622540324926376,0.39495546905984,0.21106705397525494,-0.027473590108750168,sunshine_coast_core
0,2025-08..2025-10,future,seen,gnn,582532,0.11314075440168381,0.37186365075564076,0.003645024696134813,-0.029141964845493806,sunshine_coast_core
0,2025-08..2025-10,future,unseen,gnn,22476,0.09377319365739822,0.31058299107098186,-0.02158713383933697,-0.012349904303122106,sunshine_coast_core
0,2025-08..2025-10,seen,seen,gnn,18561331,0.1011868491768837,0.49984604197099836,0.18505123572031723,-0.0852335945253555,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,gnn,705294,0.10095863789319992,0.3366730314004547,0.18275108194521617,-0.06705839171712324,sunshine_coast_core
1,2025-11..2026-01,future,seen,gnn,424069,0.09979133307933807,0.4248077011836874,0.37162709296309504,0.0796882676412769,sunshine_coast_core
1,2025-11..2026-01,future,unseen,gnn,15250,0.08037622272968292,0.3069377967318837,0.40338075871016843,0.13810382448304792,sunshine_coast_core
1,2025-11..2026-01,seen,seen,gnn,18756194,0.10164143890142441,0.49572405732247715,0.17361687677056137,-0.09741029799310774,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,gnn,712786,0.10208269208669662,0.32094165638632166,0.1664161387856523,-0.08726328290764562,sunshine_coast_core
2,2026-02..2026-04,future,seen,gnn,111847,0.15574830770492554,-0.04556358119914483,0.38778284921432826,-0.019008156575679225,sunshine_coast_core
2,2026-02..2026-04,future,unseen,gnn,786,0.14573155343532562,-0.3170977195611211,0.47719756681102177,0.08501058519255622,sunshine_coast_core
2,2026-02..2026-04,seen,seen,gnn,19338726,0.1005052849650383,0.5086971406906218,0.18119307973666998,-0.08134190181823264,sunshine_coast_core
2,2026-02..2026-04,seen,unseen,gnn,735262,0.0993385761976242,0.35722191798361613,0.1838517331446351,-0.05972323836782101,sunshine_coast_core
3,2026-05..2026-07,future,seen,gnn,542602,0.08525330573320389,0.5055394881991404,0.18077709049235757,0.0500913962351176,sunshine_coast_core
3,2026-05..2026-07,future,unseen,gnn,20296,0.09841201454401016,0.18724377588897445,0.15581898226640678,-0.022791873440100696,sunshine_coast_core
3,2026-05..2026-07,seen,seen,gnn,19762795,0.09983223676681519,0.5144594624159207,0.19204581619903016,-0.0718070614569899,sunshine_coast_core
3,2026-05..2026-07,seen,unseen,gnn,750512,0.09888433665037155,0.359520118858459,0.18926698777043383,-0.05586509334224998,sunshine_coast_core
0,2025-08..2025-10,future,seen,ensemble,582532,0.10525257667117098,0.4563977180640486,0.07311093173767946,0.042609852362732514,sunshine_coast_core
0,2025-08..2025-10,future,unseen,ensemble,22476,0.08830287227864118,0.3886720415509971,0.03800782843657524,0.0467061980679323,sunshine_coast_core
0,2025-08..2025-10,seen,seen,ensemble,0,,,,,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,ensemble,0,,,,,sunshine_coast_core
1,2025-11..2026-01,future,seen,ensemble,424069,0.1004053150734354,0.4177080190122251,0.36776092905292346,0.07402590383483754,sunshine_coast_core
1,2025-11..2026-01,future,unseen,ensemble,15250,0.0815607637170356,0.28635931943453385,0.39458810932767785,0.12540166814788445,sunshine_coast_core
1,2025-11..2026-01,seen,seen,ensemble,0,,,,,sunshine_coast_core
1,2025-11..2026-01,seen,unseen,ensemble,0,,,,,sunshine_coast_core
2,2026-02..2026-04,future,seen,ensemble,111847,0.14810265830692163,0.05456969452008176,0.4178364514609747,0.031014724659373383,sunshine_coast_core
2,2026-02..2026-04,future,unseen,ensemble,786,0.12217192662429865,0.07433532772712215,0.561716189796094,0.23293194224080893,sunshine_coast_core
2,2026-02..2026-04,seen,seen,ensemble,582532,0.10525257667117098,0.45639776278152533,0.1425173493724179,-0.13241827500379344,sunshine_coast_core
