fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
1,2025-11..2026-01,seen,unseen,convlstm,340668,0.11069810390472412,-0.030794522133491098,0.18950275923624893,-0.08683488306190101,daintree
2,2026-02..2026-04,future,seen,convlstm,16673,0.11517775803804398,-0.1294384388694383,-0.09906839131759337,-0.05308944058091081,daintree
2,2026-02..2026-04,future,unseen,convlstm,1552,0.08726182579994202,-0.1526781888912847,0.177814459494806,-0.12846007542283222,daintree
2,2026-02..2026-04,seen,seen,convlstm,5102855,0.1134682446718216,0.05435713123474417,0.2125945373078736,-0.057358603380878614,daintree
2,2026-02..2026-04,seen,unseen,convlstm,344198,0.10632873326539993,0.047635458791247864,0.21722872264452842,-0.04596723415080728,daintree
3,2026-05..2026-07,future,seen,convlstm,38972,0.12522858381271362,-0.7279666160299865,0.09144926738724857,0.004557340943470822,daintree
3,2026-05..2026-07,future,unseen,convlstm,2571,0.1169174388051033,-0.4928713815289496,0.008962187978845626,-0.027059714643985044,daintree
3,2026-05..2026-07,seen,seen,convlstm,5139456,0.11598925292491913,0.008745610534560244,0.19312056575114545,-0.08215991355963692,daintree
3,2026-05..2026-07,seen,unseen,convlstm,346606,0.10866893827915192,0.002689772440111926,0.198620215390661,-0.06993388039080517,daintree
0,2025-08..2025-10,future,seen,gnn,26505,0.06570646911859512,-0.2291604810691008,0.014565567794219136,0.20803343386133966,daintree
0,2025-08..2025-10,future,unseen,gnn,1895,0.06706835329532623,-0.07023908629396036,0.0423287622702877,0.17813608899664768,daintree
0,2025-08..2025-10,seen,seen,gnn,1473340,0.105794258415699,-0.012131178709275492,0.2704929588101723,0.016951646044950586,daintree
0,2025-08..2025-10,seen,unseen,gnn,127924,0.09923364222049713,-0.0011781844937570618,0.27409490184494123,0.027398348633098424,daintree
1,2025-11..2026-01,future,seen,gnn,24084,0.10520678013563156,-0.9532650824647682,-0.24174226791884879,-0.1827109099659492,daintree
1,2025-11..2026-01,future,unseen,gnn,1498,0.1086849793791771,-0.7190036122622361,-0.19454740811207483,-0.21538229660909902,daintree
1,2025-11..2026-01,seen,seen,gnn,1483792,0.12163939327001572,-0.3368560539297363,0.16171030135099562,-0.1308200878077257,daintree
1,2025-11..2026-01,seen,unseen,gnn,128589,0.11707814782857895,-0.39632242116621197,0.14279005311179294,-0.1494742061155332,daintree
2,2026-02..2026-04,future,seen,gnn,3401,0.10806939005851746,-1.032571543854714,-0.03123773813218267,0.011903552741031165,daintree
2,2026-02..2026-04,future,unseen,gnn,192,0.09074892103672028,-1.8446973543578937,0.1449588636399055,-0.17355479717347455,daintree
2,2026-02..2026-04,seen,seen,gnn,1510297,0.11398782581090927,-0.17756446994762243,0.20898893797554308,-0.06220034204668545,daintree
2,2026-02..2026-04,seen,unseen,gnn,130484,0.10844100266695023,-0.1998040219970323,0.20167860964315,-0.06674585640906638,daintree
3,2026-05..2026-07,future,seen,gnn,1745,0.10876285284757614,0.029537726125671848,0.21091042773825575,0.1354435213682138,daintree
